Date,Open,High,Low,Close,Adj Close,Volume
2016-02-16,96.940002,97.629997,96.339996,96.940002,88.308517,5943300
2016-02-17,97.400002,98.250000,96.970001,97.690002,88.991730,5626600
2016-02-18,97.500000,97.730003,96.379997,96.889999,88.262962,4093200
2016-02-19,96.400002,97.660004,96.059998,97.589996,88.900635,4349700
2016-02-22,98.040001,98.790001,97.000000,97.459999,88.782204,4200400
2016-02-23,97.370003,97.500000,95.889999,96.750000,88.135422,4486900
2016-02-24,96.290001,97.099998,94.930000,96.879997,88.253853,6380600
2016-02-25,97.360001,98.430000,97.099998,98.400002,89.638512,4619700
2016-02-26,98.580002,98.779999,96.389999,97.660004,88.964409,6130100
2016-02-29,97.330002,98.339996,97.139999,97.169998,88.518028,4840800
2016-03-01,98.160004,98.440002,97.580002,98.300003,89.547424,3483400
2016-03-02,98.190002,98.889999,97.889999,98.629997,89.848038,3372100
2016-03-03,98.400002,99.480003,98.099998,99.379997,90.531250,3656000
2016-03-04,99.360001,99.750000,98.660004,99.279999,90.440155,3709500
2016-03-07,98.540001,99.169998,98.120003,98.419998,89.656731,4531100
2016-03-08,98.000000,99.750000,98.000000,99.040001,90.221535,4355000
2016-03-09,99.419998,100.599998,99.110001,100.519997,91.569748,5153200
2016-03-10,100.820000,100.900002,98.610001,99.339996,90.494820,4876600
2016-03-11,100.000000,100.470001,99.599998,100.360001,91.424004,3585100
2016-03-14,100.330002,101.239998,99.830002,101.019997,92.025238,3054400
2016-03-15,100.230003,101.589996,100.150002,101.180000,92.170990,3129700
2016-03-16,101.180000,101.349998,100.300003,100.980003,91.988808,3846700
2016-03-17,101.080002,101.489998,100.040001,101.110001,92.107208,4516800
2016-03-18,101.260002,102.669998,100.959999,101.580002,92.535378,7216200
2016-03-21,101.160004,102.440002,101.150002,101.739998,92.681129,3572800
2016-03-22,101.169998,102.720001,100.949997,101.940002,92.863327,4052900
2016-03-23,101.669998,102.099998,100.550003,100.739998,91.770172,4228200
2016-03-24,100.690002,101.470001,100.000000,101.430000,92.398720,3035800
2016-03-28,101.320000,102.230003,101.139999,101.839996,92.772209,3580700
2016-03-29,101.739998,102.839996,101.010002,102.470001,93.346130,3801100
2016-03-30,102.989998,104.400002,102.750000,104.050003,94.785439,4487700
2016-03-31,104.000000,104.400002,103.599998,103.730003,94.493942,3956000
2016-04-01,103.360001,105.000000,102.910004,104.820000,95.486877,6269200
2016-04-04,103.889999,104.559998,103.680000,104.480003,95.177162,3991800
2016-04-05,104.029999,104.209999,102.949997,103.180000,93.992912,4367600
2016-04-06,103.139999,103.910004,102.739998,103.389999,94.184196,3753000
2016-04-07,103.139999,103.239998,100.440002,100.940002,91.952354,4957200
2016-04-08,101.739998,101.970001,101.150002,101.470001,92.435158,2924800
2016-04-11,101.669998,101.750000,100.730003,100.769997,91.797485,3434700
2016-04-12,101.220001,101.449997,100.410004,101.230003,92.216530,2794300
2016-04-13,101.599998,101.940002,100.980003,101.129997,92.125435,3396000
2016-04-14,101.419998,101.620003,100.860001,101.110001,92.107208,3384900
2016-04-15,100.949997,102.379997,100.589996,102.239998,93.136597,3273900
2016-04-18,102.199997,103.230003,101.970001,102.500000,93.373459,3177800
2016-04-19,102.519997,103.599998,102.510002,103.459999,94.247986,2915600
2016-04-20,103.190002,103.250000,102.349998,102.510002,93.767746,3007100
2016-04-21,102.510002,102.870003,101.029999,101.220001,92.587776,4018400
2016-04-22,101.330002,101.620003,100.400002,101.440002,92.789001,2652400
2016-04-25,101.000000,101.989998,100.779999,101.949997,93.255493,2322800
2016-04-26,101.949997,102.889999,101.660004,102.849998,94.078751,2832300
2016-04-27,102.980003,103.419998,101.910004,102.699997,93.941551,3150400
2016-04-28,101.989998,102.410004,101.000000,101.209999,92.578621,4082000
2016-04-29,101.000000,101.339996,99.870003,100.500000,91.929161,4570100
2016-05-02,100.500000,101.930000,100.260002,101.449997,92.798157,5486300
2016-05-03,101.820000,104.440002,100.519997,103.919998,95.057503,6346300
2016-05-04,102.930000,104.419998,102.930000,103.900002,95.039207,4617000
2016-05-05,103.900002,105.610001,103.769997,105.150002,96.182610,5279500
2016-05-06,104.629997,105.500000,104.349998,104.849998,95.908180,4262800
2016-05-09,104.930000,106.669998,104.800003,105.739998,96.722290,4567400
2016-05-10,106.000000,106.349998,105.589996,106.099998,97.051598,3135100
2016-05-11,105.879997,105.879997,104.139999,104.160004,95.277031,4116300
2016-05-12,104.400002,105.449997,104.220001,104.849998,95.908180,3816600
2016-05-13,104.379997,104.849998,103.470001,103.669998,94.828819,3413600
2016-05-16,103.669998,104.760002,103.269997,104.550003,95.633766,2822400
2016-05-17,104.220001,104.540001,101.730003,102.110001,93.401871,4999300
2016-05-18,101.320000,102.400002,99.650002,101.519997,92.862175,5632500
2016-05-19,101.580002,102.110001,100.510002,100.949997,92.340782,3617700
